pair,version,quality,workload,fps,cpuP50,cpuP95,gapP95,inputSubmissionP95,uploadKiB
2,candidate,high,revealed-touch-cpu4,41.02544347925793,22.199999999254942,27.699999999254942,30.600000001490116,93.30000000074506,339.84806888204224
2,baseline,medium,opening-touch,59.796059796059794,3.300000000745058,4.399999998509884,17.699999999254942,28.5,294.05559292218544
2,baseline,medium,revealed-idle,60.02712188893304,4.800000000745058,6,17.899999998509884,,802.361328125
2,baseline,medium,revealed-touch,59.94702356055659,5.600000001490116,8,18.400000002235174,24.300000000745058,793.9020257994187
2,baseline,medium,revealed-touch-cpu4,29.81953554667221,30.699999999254942,37.399999998509884,40.80000000074506,129.80000000074506,793.8141061075079
2,candidate,medium,opening-touch,59.215252295813016,2.900000002235174,4.199999999254942,17.899999998509884,27.299999997019768,180.36846823770492
2,candidate,medium,revealed-idle,60.00797448165869,3.400000002235174,4.600000001490116,17.899999998509884,,311.568359375
2,candidate,medium,revealed-touch,59.9721059972106,3.699999999254942,4.800000000745058,17.899999998509884,29,345.1986023151993
2,candidate,medium,revealed-touch-cpu4,48.67309650752355,18.199999999254942,23.800000000745058,26.700000002980232,81.69999999925494,325.06417668269233
2,baseline,clarity,opening-touch,40.0623630873852,3.300000000745058,4.300000000745058,26.300000000745058,28.100000001490116,271.39453125
2,baseline,clarity,revealed-idle,40.103750997605744,5.100000001490116,6.899999998509884,26.300000000745058,,741.001953125
2,baseline,clarity,revealed-touch,40.12748636818597,6,8.699999999254942,27.099999997764826,39.600000001490116,735.1571284389952
2,baseline,clarity,revealed-touch-cpu4,29.549759850306938,31.100000001490116,40,43,137.19999999925494,734.8276658013323
2,candidate,clarity,opening-touch,40.08803647224692,2.900000002235174,3.900000002235174,26.199999999254942,27.800000000745058,175.6795534620098
2,candidate,clarity,revealed-idle,40.15743312091576,3.699999999254942,4.599999997764826,26,,311.240234375
2,candidate,clarity,revealed-touch,39.8755881649432,4.099999997764826,4.899999998509884,26.199999999254942,28.699999999254942,339.72685546875
2,candidate,clarity,revealed-touch-cpu4,39.59248708415818,20.600000001490116,27.800000000745058,31.799999997019768,84.5,331.2441692073171
3,candidate,high,opening-touch,58.928880928962656,3.199999999254942,4.799999997019768,18.300000000745058,28.300000000745058,184.8879825367647
3,candidate,high,revealed-idle,60.03789767627406,3.800000000745058,4.800000000745058,18.199999999254942,,321.302734375
3,candidate,high,revealed-touch,59.997209432137254,4.600000001490116,6,17.899999998509884,21.699999999254942,365.3542813019103
3,candidate,high,revealed-touch-cpu4,45.61975355786576,19.600000001490116,27.099999997764826,30.299999997019768,96.29999999701977,338.56749521207024
3,baseline,high,opening-touch,59.90865413128921,3.199999999254942,4.900000002235174,17.800000000745058,29.100000001490116,313.84037231848185
